sample_tube,sample_code,core,SRA_name,16S_SampleID,18S_SampleID,fITS_SampleID,sample_depth,sample_type,contam_type,Antimony,Arsenic,Barium,Beryllium,Cadmium,Chromium,Chromium_VI,Cobalt,Copper,Lead,Mercury,Molybdenum,Nickel,Selenium,Silver,Thallium,Vanadium,Zinc,TPH_d,TPH_mo,TPH_g,Acenaphthene,Acenaphthylene,Anthracene,Benz_a_anthracene,Benzo_a_pyrene,Benzo_b_fluoranthene,Benzo_ghi_perylene,Benzo_k_fluoranthene,Chrysene,Dibenz_ah_anthracene,Fluoranthene,Fluorene,Indeno_123-cd_pyrene,Naphthalene,Phenanthrene,Pyrene
1,B1-0,B1,S_1_1,X16S_1_1_S1_L001,X18S_1_1_S1_L001,FUN_ITS_1_1_S1_L001,0.15,sample,not_contaminated,<2,<2,60,<0.5,0.55,110,<1,6.3,23,57,<0.1,<1,14,<4.8,<0.5,<2,52,76,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
2,B1-10,B1,S_1_2,X16S_1_2_S2_L001,X18S_1_2_S2_L001,FUN_ITS_1_2_S2_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,B1-15,B1,S_1_3,X16S_1_3_S3_L001,X18S_1_3_S3_L001,FUN_ITS_1_3_S3_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,B1-20,B1,S_1_4,X16S_1_4_S4_L001,X18S_1_4_S4_L001,FUN_ITS_1_4_S4_L001,6.1,sample,not_contaminated,<2,<2,60,<0.5,<0.5,9.4,NA,5.4,6.9,1.9,<0.1,<1,5.6,<4.8,<0.5,<2,22,32,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
5,B2-0,B2,S_1_5,X16S_1_5_S5_L001,X18S_1_5_S5_L001,FUN_ITS_1_5_S5_L001,0.15,sample,contaminated,<2,<2,220,1.8,0.53,24,<1,6,58,140,<0.1,<1,12,<4.8,<0.5,<2,27,390,440,2000,<0.2,<80,<80,<80,<80,<80,<80,<80,<80,<80,<96,<100,<80,<80,<80,<80,<100
6,B2-5,B2,S_1_6,X16S_1_6_S6_L001,X18S_1_6_S6_L001,FUN_ITS_1_6_S6_L001,1.52,sample,not_contaminated,<2,<2,170,0.55,0.82,21,<1,11,18,8.5,<0.1,<1,15,<4.8,<0.5,<2,47,59,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
7,B2-10,B2,S_1_7,X16S_1_7_S7_L001,X18S_1_7_S7_L001,FUN_ITS_1_7_S7_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,B2-15,B2,S_1_8,X16S_1_8_S8_L001,X18S_1_8_S8_L001,FUN_ITS_1_8_S8_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,B2-20,B2,S_1_9,X16S_1_9_S9_L001,X18S_1_9_S9_L001,FUN_ITS_1_9_S9_L001,6.1,sample,not_contaminated,<2,<2,89,<0.5,<0.5,12,NA,8.6,11,2.5,<0.1,<1,8.3,<4.8,<0.5,<2,30,40,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
10,B3-0,B3,S_1_10,X16S_1_10_S10_L001,X18S_1_10_S10_L001,FUN_ITS_1_10_S10_L001,0.15,sample,contaminated,<2,4.2,95,<0.5,1,18,NA,7.5,230,100,0.12,<1,13,<4.8,<0.5,<2,34,130,320,1300,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,1600
11,B3-5,B3,S_1_11,X16S_1_11_S11_L001,X18S_1_11_S11_L001,FUN_ITS_1_11_S11_L001,1.52,sample,not_contaminated,<2,<2,48,<0.5,<0.5,8,NA,4.9,6.1,3,<0.1,<1,4.6,<4.8,<0.5,<2,22,25,<10,<50,<0.2,<40,<40,<40,140,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
12,B3-10,B3,S_1_12,X16S_1_12_S12_L001,X18S_1_12_S12_L001,FUN_ITS_1_12_S12_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,B3-15,B3,S_1_13,X16S_1_13_S13_L001,X18S_1_13_S13_L001,FUN_ITS_1_13_S13_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,B3-20,B3,S_1_14,X16S_1_14_S14_L001,X18S_1_14_S14_L001,FUN_ITS_1_14_S14_L001,6.1,sample,not_contaminated,<2,<2,110,<0.5,<0.5,15,NA,9.8,14,2.9,<0.1,<1,9.8,<4.8,<0.5,<2,39,48,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
15,B4-0,B4,S_1_15,X16S_1_15_S15_L001,X18S_1_15_S15_L001,FUN_ITS_1_15_S15_L001,0.15,sample,contaminated,<2,4.1,130,<0.5,<0.5,13,NA,8.3,18,14,0.12,<1,12,<4.8,<0.5,<2,33,58,120,480,<0.2,<80,<80,<80,<80,<80,<80,<80,<80,<80,<96,7400,<80,4600,<80,<80,1800
16,B4-5,B4,S_1_16,X16S_1_16_S16_L001,X18S_1_16_S16_L001,FUN_ITS_1_16_S16_L001,1.52,sample,not_contaminated,<2,<2,73,<0.5,<0.5,11,NA,7,10,3.6,<0.1,<1,6.9,<4.8,<0.5,<2,29,32,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
17,B4-10,B4,S_1_17,X16S_1_17_S17_L001,X18S_1_17_S17_L001,FUN_ITS_1_17_S17_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,B4-15,B4,S_1_18,X16S_1_18_S18_L001,X18S_1_18_S18_L001,FUN_ITS_1_18_S18_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,B4-20,B4,S_1_19,X16S_1_19_S19_L001,X18S_1_19_S19_L001,FUN_ITS_1_19_S19_L001,6.1,sample,not_contaminated,<2,<2,56,<0.5,<0.5,7.8,NA,4.7,5,1.6,<0.1,<1,4.2,<4.8,<0.5,<2,22,21,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
20,B5-0,B5,S_1_20,X16S_1_20_S20_L001,X18S_1_20_S20_L001,FUN_ITS_1_20_S20_L001,0.15,sample,contaminated,<2,4.3,120,<0.5,0.59,17,NA,7.1,120,39,<0.1,1.2,11,<4.8,<0.5,<2,34,74,320,770,<0.2,6300,<120,40000,190000,<120,140000,66000,46000,<120,<140,<160,10000,62000,<120,98000,160000
21,B5-5,B5,S_1_21,X16S_1_21_S21_L001,X18S_1_21_S21_L001,FUN_ITS_1_21_S21_L001,1.52,sample,not_contaminated,<2,<2,56,<0.5,<0.5,9.1,NA,5.9,8.6,4.1,<0.1,<1,5.6,<4.8,<0.5,<2,27,32,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
22,B5-10,B5,S_1_22,X16S_1_22_S22_L001,X18S_1_22_S22_L001,FUN_ITS_1_22_S22_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,B5-15,B5,S_1_23,X16S_1_23_S23_L001,X18S_1_23_S23_L001,FUN_ITS_1_23_S23_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,B5-20,B5,S_1_24,X16S_1_24_S24_L001,X18S_1_24_S24_L001,FUN_ITS_1_24_S24_L001,6.1,sample,not_contaminated,<2,<2,35,<0.5,<0.5,5.6,NA,3.5,<5,3,<0.1,<1,3.1,<4.8,<0.5,<2,15,22,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
25,B6-0,B6,S_1_25,X16S_1_25_S25_L001,X18S_1_25_S25_L001,FUN_ITS_1_25_S25_L001,0.15,sample,contaminated,<2,2.2,100,<0.5,0.56,17,NA,8.6,31,39,0.11,<1,15,<4.8,2.4,<2,36,75,140,500,<0.2,<40,<40,<40,<40,4000,<40,2800,<40,<40,<48,7800,<40,<40,<40,<40,2200
26,B6-5,B6,S_1_26,X16S_1_26_S26_L001,X18S_1_26_S26_L001,FUN_ITS_1_26_S26_L001,1.52,sample,not_contaminated,<2,<2,56,<0.5,<0.5,7.6,NA,5.3,6.1,2.7,<0.1,<1,4.4,<4.8,<0.5,<2,22,25,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
27,B6-10,B6,S_1_27,X16S_1_27_S27_L001,X18S_1_27_S27_L001,FUN_ITS_1_27_S27_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,B6-15,B6,S_1_28,X16S_1_28_S28_L001,X18S_1_28_S28_L001,FUN_ITS_1_28_S28_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,B6-20,B6,S_1_29,X16S_1_29_S29_L001,X18S_1_29_S29_L001,FUN_ITS_1_29_S29_L001,6.1,sample,not_contaminated,<2,<2,49,<0.5,<0.5,7.5,NA,4.7,5.9,2.1,<0.1,<1,4,<4.8,<0.5,<2,20,23,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
30,B7-0,B7,S_1_30,X16S_1_30_S30_L001,X18S_1_30_S30_L001,FUN_ITS_1_30_S30_L001,0.15,sample,not_contaminated,<2,<2,98,<0.5,1.7,17,NA,8.4,16,11,0.17,3,16,<4.8,<0.5,<2,39,54,27,130,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
31,B7-5,B7,S_1_31,X16S_1_31_S31_L001,X18S_1_31_S31_L001,FUN_ITS_1_31_S31_L001,1.52,sample,not_contaminated,<2,<2,59,<0.5,<0.5,8.6,NA,5.9,6.3,3.3,<0.1,<1,5.3,<4.8,<0.5,<2,24,29,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
32,B7-10,B7,S_1_32,X16S_1_32_S32_L001,X18S_1_32_S32_L001,FUN_ITS_1_32_S32_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,B7-15,B7,S_1_33,X16S_1_33_S33_L001,X18S_1_33_S33_L001,FUN_ITS_1_33_S33_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,B7-20,B7,S_1_34,X16S_1_34_S34_L001,X18S_1_34_S34_L001,FUN_ITS_1_34_S34_L001,6.1,sample,not_contaminated,<2,<2,48,<0.5,<0.5,5.6,NA,4.5,5.5,4.8,<0.1,<1,3.4,<4.8,<0.5,<2,21,23,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
35,B8-0,B8,S_1_35,X16S_1_35_S35_L001,X18S_1_35_S35_L001,FUN_ITS_1_35_S35_L001,0.15,sample,contaminated,<2,<2,68,<0.5,<0.5,10,NA,6.3,11,16,<0.1,<1,8.3,<4.8,<0.5,<2,28,47,57,330,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,4400,<40,<40,2000
36,B8-5,B8,S_1_36,X16S_1_36_S36_L001,X18S_1_36_S36_L001,FUN_ITS_1_36_S36_L001,1.52,sample,not_contaminated,<2,<2,58,<0.5,<0.5,9.8,NA,5.5,8.3,6.9,<0.1,<1,5.8,<4.8,<0.5,<2,23,34,27,140,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
37,B8-10,B8,S_1_37,X16S_1_37_S37_L001,X18S_1_37_S37_L001,FUN_ITS_1_37_S37_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,B8-15,B8,S_1_38,X16S_1_38_S38_L001,X18S_1_38_S38_L001,FUN_ITS_1_38_S38_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,B8-20,B8,S_1_39,X16S_1_39_S39_L001,X18S_1_39_S39_L001,FUN_ITS_1_39_S39_L001,6.1,sample,not_contaminated,<2,<2,52,<0.5,<0.5,7.6,NA,5.4,5.5,3.5,<0.1,<1,4.5,<4.8,<0.5,<2,21,26,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
40,B9-0,B9,S_1_40,X16S_1_40_S40_L001,X18S_1_40_S40_L001,FUN_ITS_1_40_S40_L001,0.15,sample,contaminated,<2,<2,79,<0.5,<0.5,8.2,NA,6.9,10,6.8,<0.1,<1,10,<4.8,<0.5,<2,29,34,640,2900,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
41,B9-5,B9,S_1_41,X16S_1_41_S41_L001,X18S_1_41_S41_L001,FUN_ITS_1_41_S41_L001,1.52,sample,not_contaminated,<2,<2,60,<0.5,<0.5,7.3,NA,5,7.1,4.7,<0.1,<1,4.7,<4.8,<0.5,<2,20,27,14,140,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
42,B10-0,B10,S_1_42,X16S_1_42_S42_L001,X18S_1_42_S42_L001,FUN_ITS_1_42_S42_L001,0.15,sample,not_contaminated,<2,<2,120,<0.5,0.58,15,NA,8.1,15,7.1,<0.1,1.4,14,<4.8,<0.5,<2,36,47,18,100,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
43,B10-5,B10,S_1_43,X16S_1_43_S43_L001,X18S_1_43_S43_L001,FUN_ITS_1_43_S43_L001,1.52,sample,not_contaminated,<2,<2,67,<0.5,<0.5,8.3,NA,6,8.2,2.4,<0.1,<1,5.8,<4.8,<0.5,<2,23,29,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
44,B10-10,B10,S_1_44,X16S_1_44_S44_L001,X18S_1_44_S44_L001,FUN_ITS_1_44_S44_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,B10-15,B10,S_1_45,X16S_1_45_S45_L001,X18S_1_45_S45_L001,FUN_ITS_1_45_S45_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,B10-20,B10,S_1_46,X16S_1_46_S46_L001,X18S_1_46_S46_L001,FUN_ITS_1_46_S46_L001,6.1,sample,not_contaminated,<2,<2,62,<0.5,<0.5,9.8,NA,6.6,8.1,2.2,<0.1,<1,6.2,<4.8,<0.5,<2,26,29,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
47,B11-0,B11,S_1_47,X16S_1_47_S47_L001,X18S_1_47_S47_L001,FUN_ITS_1_47_S47_L001,0.15,sample,contaminated,<2,2.4,120,<0.5,1.2,18,NA,9,22,19,<0.1,2.1,17,<4.8,<0.5,<2,42,65,23,110,<0.2,<40,<40,<40,<40,750,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
48,B11-5,B11,S_1_48,X16S_1_48_S48_L001,X18S_1_48_S48_L001,FUN_ITS_1_48_S48_L001,1.52,sample,not_contaminated,<2,<2,68,<0.5,<0.5,9.3,NA,5.8,7.9,5.4,<0.1,<1,5.7,<4.8,<0.5,<2,24,32,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
49,B11-10,B11,S_1_49,X16S_1_49_S49_L001,X18S_1_49_S49_L001,FUN_ITS_1_49_S49_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,B11-20,B11,S_1_50,X16S_1_50_S50_L001,X18S_1_50_S50_L001,FUN_ITS_1_50_S50_L001,6.1,sample,not_contaminated,<2,<2,66,<0.5,<0.5,9.7,NA,6.1,7.8,2.8,<0.1,<1,5.8,<4.8,<0.5,<2,25,28,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
51,B12-0,B12,S_1_51,X16S_1_51_S51_L001,X18S_1_51_S51_L001,FUN_ITS_1_51_S51_L001,0.15,sample,contaminated,<2,2.1,84,<0.5,<0.5,8.8,NA,7.6,17,17,<0.1,<1,12,<4.8,<0.5,<2,29,45,69,330,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
52,B12-5,B12,S_1_52,X16S_1_52_S52_L001,X18S_1_52_S52_L001,FUN_ITS_1_52_S52_L001,1.52,sample,not_contaminated,<2,<2,67,<0.5,<0.5,9.6,NA,6.2,9.1,3.1,<0.1,1,5.8,<4.8,<0.5,<2,28,30,11,86,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
53,B12-10,B12,S_1_53,X16S_1_53_S53_L001,X18S_1_53_S53_L001,FUN_ITS_1_53_S53_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,B12-15,B12,S_1_54,X16S_1_54_S54_L001,X18S_1_54_S54_L001,FUN_ITS_1_54_S54_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,B12-20,B12,S_1_55,X16S_1_55_S55_L001,X18S_1_55_S55_L001,FUN_ITS_1_55_S55_L001,6.1,sample,not_contaminated,<2,<2,42,<0.5,<0.5,64,NA,4.1,<5,2.4,<0.1,<1,4.3,<4.8,<0.5,<2,19,21,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
56,C1,C1,S_1_56,X16S_1_56_S56_L001,X18S_1_56_S56_L001,FUN_ITS_1_56_S56_L001,0.15,neighbor_lot,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,C2,C1,S_1_57,X16S_1_57_S57_L001,X18S_1_57_S57_L001,FUN_ITS_1_57_S57_L001,0.15,neighbor_lot,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,C3,C1,S_1_58,X16S_1_58_S58_L001,X18S_1_58_S58_L001,FUN_ITS_1_58_S58_L001,0.15,neighbor_lot,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,C4,C1,S_1_59,X16S_1_59_S59_L001,X18S_1_59_S59_L001,FUN_ITS_1_59_S59_L001,0.15,neighbor_lot,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,BLANK1,NA,S_1_60,X16S_1_60_S60_L001,X18S_1_60_S60_L001,FUN_ITS_1_60_S60_L001,BLANK1,control,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,BLANK2,NA,S_1_61,X16S_1_61_S61_L001,X18S_1_61_S61_L001,FUN_ITS_1_61_S61_L001,BLANK2,control,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,BLANK3,NA,S_1_62,X16S_1_62_S62_L001,X18S_1_62_S62_L001,FUN_ITS_1_62_S62_L001,BLANK3,control,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,PCRBlank,NA,S_1_63,X16S_1_63_S63_L001,X18S_1_63_S63_L001,FUN_ITS_1_63_S63_L001,PCRBlank,control,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA